Source,___Id_Number,New_ID,Address,J_ID,UNID,WWTP_Name,Country,Area,Circular_Tank_Count,Rectangular_Tank_Count,Desgin_Capacity,WW_Treatment_Level,Latitude,Longitude,Url_Image,type__found_by_AI__flase_positive,Note,Done,Image_Name,Orabi'sClassification,new name
AI_Predictions,,RT_01,,,Satellite_1709_zoom18_3_2.tif,,Egypt,,0,2,,,30.2517281,31.0743351,https://cgiar.sharepoint.com/sites/IWMI-E-ReWater/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FIWMI%2DE%2DReWater%2FShared%20Documents%2FPilar%201%20%2D%20AI%2Fimages%2Fimages%5Fegypt%2FFocused_1709_3_2.tif&parent=%2Fsites%2FIWMI%2DE%2DReWater%2FShared%20Documents%2FPilar%201%20%2D%20AI%2Fimages%2Fimages%5Fegypt,False Positive,,Done,AI_Predictions_False Positive_Focused_1709_3_2.tif,WWTP,RT_01_AI_Predictions_WWTP
AI_Predictions,,RT_02,,,Satellite_2098_zoom18_5_4.tif,,Egypt,,0,3,,,30.2960625,31.2666988,https://cgiar.sharepoint.com/sites/IWMI-E-ReWater/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FIWMI%2DE%2DReWater%2FShared%20Documents%2FPilar%201%20%2D%20AI%2Fimages%2Fimages%5Fegypt%2FFocused_2098_5_4.tif&parent=%2Fsites%2FIWMI%2DE%2DReWater%2FShared%20Documents%2FPilar%201%20%2D%20AI%2Fimages%2Fimages%5Fegypt,False Positive,,Done,AI_Predictions_False Positive_Focused_2098_5_4.tif,WWTP,RT_02_AI_Predictions_WWTP
AI_Predictions,,RT_03,,EG390,Satellite_1127_zoom18_5_1.tif,,Egypt,,2,5,,,30.7764416,31.408083,https://cgiar.sharepoint.com/sites/IWMI-E-ReWater/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FIWMI%2DE%2DReWater%2FShared%20Documents%2FPilar%201%20%2D%20AI%2Fimages%2Fimages%5Fegypt%2FFocused_1127_5_1.tif&parent=%2Fsites%2FIWMI%2DE%2DReWater%2FShared%20Documents%2FPilar%201%20%2D%20AI%2Fimages%2Fimages%5Fegypt,Javiers and OpenStreet map,,Done,AI_Predictions_Javiers and OpenStreet map_Focused_1127_5_1.tif,WWTP,RT_03_AI_Predictions_WWTP
AI_Predictions,,RT_04,,EG130,Satellite_1162_zoom18_6_2.tif,,Egypt,,10,5,,,31.4274387,31.541359,https://cgiar.sharepoint.com/sites/IWMI-E-ReWater/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FIWMI%2DE%2DReWater%2FShared%20Documents%2FPilar%201%20%2D%20AI%2Fimages%2Fimages%5Fegypt%2FFocused_1162_6_2.tif&parent=%2Fsites%2FIWMI%2DE%2DReWater%2FShared%20Documents%2FPilar%201%20%2D%20AI%2Fimages%2Fimages%5Fegypt,Javiers and OpenStreet map,,Done,AI_Predictions_Javiers and OpenStreet map_Focused_1162_6_2.tif,WWTP,RT_04_AI_Predictions_WWTP
AI_Predictions,,RT_05,,EG410,Satellite_116_zoom18_3_4.tif,,Egypt,,14,0,,,28.8131523,30.8643456,https://cgiar.sharepoint.com/sites/IWMI-E-ReWater/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FIWMI%2DE%2DReWater%2FShared%20Documents%2FPilar%201%20%2D%20AI%2Fimages%2Fimages%5Fegypt%2FFocused_116_3_4.tif&parent=%2Fsites%2FIWMI%2DE%2DReWater%2FShared%20Documents%2FPilar%201%20%2D%20AI%2Fimages%2Fimages%5Fegypt,Javiers and OpenStreet map,,Done,AI_Predictions_Javiers and OpenStreet map_Focused_116_3_4.tif,WWTP,RT_05_AI_Predictions_WWTP
AI_Predictions,,RT_06,,EG408,Satellite_1651_zoom18_5_2.tif,,Egypt,,12,1,,,28.9163418,30.9583378,https://cgiar.sharepoint.com/sites/IWMI-E-ReWater/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FIWMI%2DE%2DReWater%2FShared%20Documents%2FPilar%201%20%2D%20AI%2Fimages%2Fimages%5Fegypt%2FFocused_1651_5_2.tif&parent=%2Fsites%2FIWMI%2DE%2DReWater%2FShared%20Documents%2FPilar%201%20%2D%20AI%2Fimages%2Fimages%5Fegypt,Javiers and OpenStreet map,,Done,AI_Predictions_Javiers and OpenStreet map_Focused_1651_5_2.tif,WWTP,RT_06_AI_Predictions_WWTP
AI_Predictions,,RT_07,,EG404,Satellite_1658_zoom18_1_1.tif,,Egypt,,8,2,,,29.068737,31.0678997,https://cgiar.sharepoint.com/sites/IWMI-E-ReWater/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FIWMI%2DE%2DReWater%2FShared%20Documents%2FPilar%201%20%2D%20AI%2Fimages%2Fimages%5Fegypt%2FFocused_1658_1_1.tif&parent=%2Fsites%2FIWMI%2DE%2DReWater%2FShared%20Documents%2FPilar%201%20%2D%20AI%2Fimages%2Fimages%5Fegypt,Javiers and OpenStreet map,,Done,AI_Predictions_Javiers and OpenStreet map_Focused_1658_1_1.tif,WWTP,RT_07_AI_Predictions_WWTP
AI_Predictions,,RT_08,,EG342,Satellite_1725_zoom18_4_5.tif,,Egypt,,14,1,,,30.6024342,30.9826412,https://cgiar.sharepoint.com/sites/IWMI-E-ReWater/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FIWMI%2DE%2DReWater%2FShared%20Documents%2FPilar%201%20%2D%20AI%2Fimages%2Fimages%5Fegypt%2FFocused_1725_4_5.tif&parent=%2Fsites%2FIWMI%2DE%2DReWater%2FShared%20Documents%2FPilar%201%20%2D%20AI%2Fimages%2Fimages%5Fegypt,Javiers and OpenStreet map,,Done,AI_Predictions_Javiers and OpenStreet map_Focused_1725_4_5.tif,WWTP,RT_08_AI_Predictions_WWTP
AI_Predictions,,RT_09,,EG343,Satellite_1727_zoom18_2_0.tif,,Egypt,,14,2,,,30.6210365,31.0571861,https://cgiar.sharepoint.com/sites/IWMI-E-ReWater/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FIWMI%2DE%2DReWater%2FShared%20Documents%2FPilar%201%20%2D%20AI%2Fimages%2Fimages%5Fegypt%2FFocused_1727_2_0.tif&parent=%2Fsites%2FIWMI%2DE%2DReWater%2FShared%20Documents%2FPilar%201%20%2D%20AI%2Fimages%2Fimages%5Fegypt,Javiers and OpenStreet map,,Done,AI_Predictions_Javiers and OpenStreet map_Focused_1727_2_0.tif,WWTP,RT_09_AI_Predictions_WWTP
AI_Predictions,,RT_10,,EG339,Satellite_1728_zoom18_3_2.tif,,Egypt,,10,1,,,30.6673737,30.9595127,https://cgiar.sharepoint.com/sites/IWMI-E-ReWater/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FIWMI%2DE%2DReWater%2FShared%20Documents%2FPilar%201%20%2D%20AI%2Fimages%2Fimages%5Fegypt%2FFocused_1728_3_2.tif&parent=%2Fsites%2FIWMI%2DE%2DReWater%2FShared%20Documents%2FPilar%201%20%2D%20AI%2Fimages%2Fimages%5Fegypt,Javiers and OpenStreet map,,Done,AI_Predictions_Javiers and OpenStreet map_Focused_1728_3_2.tif,WWTP,RT_10_AI_Predictions_WWTP
AI_Predictions,,RT_11,,EG274,Satellite_1732_zoom18_2_4.tif,,Egypt,,4,2,,,30.7426453,31.0303421,https://cgiar.sharepoint.com/sites/IWMI-E-ReWater/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FIWMI%2DE%2DReWater%2FShared%20Documents%2FPilar%201%20%2D%20AI%2Fimages%2Fimages%5Fegypt%2FFocused_1732_2_4.tif&parent=%2Fsites%2FIWMI%2DE%2DReWater%2FShared%20Documents%2FPilar%201%20%2D%20AI%2Fimages%2Fimages%5Fegypt,Javiers and OpenStreet map,,Done,AI_Predictions_Javiers and OpenStreet map_Focused_1732_2_4.tif,WWTP,RT_11_AI_Predictions_WWTP
AI_Predictions,,RT_12,,EG234,Satellite_1772_zoom18_2_5.tif,,Egypt,,2,3,,,31.5789795,30.9837227,https://cgiar.sharepoint.com/sites/IWMI-E-ReWater/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FIWMI%2DE%2DReWater%2FShared%20Documents%2FPilar%201%20%2D%20AI%2Fimages%2Fimages%5Fegypt%2FFocused_1772_2_5.tif&parent=%2Fsites%2FIWMI%2DE%2DReWater%2FShared%20Documents%2FPilar%201%20%2D%20AI%2Fimages%2Fimages%5Fegypt,Javiers and OpenStreet map,,Done,AI_Predictions_Javiers and OpenStreet map_Focused_1772_2_5.tif,WWTP,RT_12_AI_Predictions_WWTP
AI_Predictions,,RT_13,,EG137,Satellite_1875_zoom18_0_6.tif,,Egypt,,1,2,,,31.1726723,32.0384598,https://cgiar.sharepoint.com/sites/IWMI-E-ReWater/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FIWMI%2DE%2DReWater%2FShared%20Documents%2FPilar%201%20%2D%20AI%2Fimages%2Fimages%5Fegypt%2FFocused_1875_0_6.tif&parent=%2Fsites%2FIWMI%2DE%2DReWater%2FShared%20Documents%2FPilar%201%20%2D%20AI%2Fimages%2Fimages%5Fegypt,Javiers and OpenStreet map,,Done,AI_Predictions_Javiers and OpenStreet map_Focused_1875_0_6.tif,WWTP,RT_13_AI_Predictions_WWTP
