SOURCE,UNID,Unnamed: 3,COUNTRY,PROVINCE,CITY,LAT,LON,WWTP/MUNICIPALITY,WWTP start up,Reuse project start up,Status of operation for WWTP ,Status of operation for Reuse project (yes/no),Wastewater input type ,WW Treatment Level ,Technology used,Desgin Capacity (m3/yr),Average Capacity (m3/yr),Volume of  WW actually treated (m3/yr),Disposal Category,Name of the water body/valley/wwtp,Amount disposed (m3/yr),Reuse Category,Actual direct reuse (m3/yr),Area of Land Receiving TWW (ha),Scoring classifier,probability classifier,scoring object detection,probability,number of rectangular tanks,number circular tanks,url link
Javier,EG1,El-Berka,Egypt,Cairo,El-Salam Sharkeya,30.189538,31.417016,WWTP,1990,,Operational ,No,Municipal,Max secondary ,Activated Sludge,219000000,116800000,116800000,Surface water,Bilbeis drain,116800000,,0,0,1,0.991396487,Wastewater-Treatment-Facility,0.641092479,1,20,https://cgiar.sharepoint.com/:i:/r/sites/IWMI-E-ReWater/Shared%20Documents/Pilar%201%20-%20AI/images/Re_Train/Javier_Database_Image/images_Egypt/Javier_Egypt_EG1_map_zoom_17.tif?csf=1&web=1&e=TJ9F3O
Javier,EG2,Hikstep,Egypt,,El Shorouk,30.13820214,31.58706137,WWTP,1995,1995,Operational ,Yes,Municipal,Max tertiary ,,9855000,7300000,7300000,,,0,Landscape irrigation,7300000,336,1,0.999393821,Wastewater-Treatment-Facility,0.77849561,2,3,https://cgiar.sharepoint.com/:i:/r/sites/IWMI-E-ReWater/Shared%20Documents/Pilar%201%20-%20AI/images/Re_Train/Javier_Database_Image/images_Egypt/Javier_Egypt_EG2_map_zoom_17.tif?csf=1&web=1&e=TJ9F3O
Javier,EG3,El Shorouk,Egypt,,El Shorouk,30.13122449,31.58826297,WWTP,2014,2014,Operational ,Yes,Municipal,Max tertiary ,,21900000,12775000,12775000,,,0,Landscape irrigation,12775000,504,1,0.976526201,Wastewater-Treatment-Facility,0.763765514,4,0,https://cgiar.sharepoint.com/:i:/r/sites/IWMI-E-ReWater/Shared%20Documents/Pilar%201%20-%20AI/images/Re_Train/Javier_Database_Image/images_Egypt/Javier_Egypt_EG3_map_zoom_17.tif?csf=1&web=1&e=TJ9F3O
Javier,EG4,Orosqualia,Egypt,,Cairo Desert,29.908054,31.640336,WWTP,2013,2013,Operational ,Yes,Municipal,Max secondary ,,91250000,73000000,73000000,Surface water,,12976480,Agricultural and/or forestry irrigation and landscape irrigation,60023520,2763.6,1,0.997772872,Wastewater-Treatment-Facility,0.766857982,3,20,https://cgiar.sharepoint.com/:i:/r/sites/IWMI-E-ReWater/Shared%20Documents/Pilar%201%20-%20AI/images/Re_Train/Javier_Database_Image/images_Egypt/Javier_Egypt_EG4_map_zoom_17.tif?csf=1&web=1&e=TJ9F3O
Javier,EG5,Badr,Egypt,,Badr City,30.159167,31.775556,WWTP,1996,1996,Operational ,Yes,Municipal,Max tertiary ,,14600000,14600000,14600000,Surface water,,10037500,Agricultural and/or forestry irrigation and landscape irrigation,4562500,210,1,0.967949092,Wastewater-Treatment-Facility,0.690709412,10,0,https://cgiar.sharepoint.com/:i:/r/sites/IWMI-E-ReWater/Shared%20Documents/Pilar%201%20-%20AI/images/Re_Train/Javier_Database_Image/images_Egypt/Javier_Egypt_EG5_map_zoom_17.tif?csf=1&web=1&e=TJ9F3O
Javier,EG6,Robiki ,Egypt,,Badr City,30.179428,31.778365,WWTP,2017,2017,Operational ,No,Municipal,Max secondary ,,2920000,5110000,5110000,,,5110000,Industrial use ,0,0,1,0.998075962,Wastewater-Treatment-Facility,0.606661975,4,2,https://cgiar.sharepoint.com/:i:/r/sites/IWMI-E-ReWater/Shared%20Documents/Pilar%201%20-%20AI/images/Re_Train/Javier_Database_Image/images_Egypt/Javier_Egypt_EG6_map_zoom_17.tif?csf=1&web=1&e=TJ9F3O
Javier,EG7,Madinaty,Egypt,,Madinaty,30.08181869,31.69393986,WWTP,2015,2015,Operational,Yes,Municipal,Max tertiary,,14600000,14600000,14600000,,,0,Landscape irrigation,14600000,,1,0.994697571,Wastewater-Treatment-Facility,0.767919481,5,8,https://cgiar.sharepoint.com/:i:/r/sites/IWMI-E-ReWater/Shared%20Documents/Pilar%201%20-%20AI/images/Re_Train/Javier_Database_Image/images_Egypt/Javier_Egypt_EG7_map_zoom_17.tif?csf=1&web=1&e=TJ9F3O
Javier,EG8,Pureaqua ,Egypt,,Cairo,30.0630356,31.24816156,Municipality,2015,2015,Operational,Yes,Municipal,Max Tertiary,RO,1095000,,,,,,Industrial use ,,0,0,0.999742687,,,,,https://cgiar.sharepoint.com/:i:/r/sites/IWMI-E-ReWater/Shared%20Documents/Pilar%201%20-%20AI/images/Re_Train/Javier_Database_Image/images_Egypt/Javier_Egypt_EG8_map_zoom_17.tif?csf=1&web=1&e=TJ9F3O
Javier,EG9,Al Massa,Egypt,,Nacr City,30.06179397,31.31949279,Municipality,2017,2017,Operational ,Yes,Municipal,Max Tertiary,,365000,,,,,,,,,0,0.991924345,,,,,https://cgiar.sharepoint.com/:i:/r/sites/IWMI-E-ReWater/Shared%20Documents/Pilar%201%20-%20AI/images/Re_Train/Javier_Database_Image/images_Egypt/Javier_Egypt_EG9_map_zoom_17.tif?csf=1&web=1&e=TJ9F3O
Javier,EG10,New Capital Water Treatment Facilities,Egypt,,New Capital,29.99468409,31.73960854,Municipality,2019,2019,Operational,Yes,Municipal,Max tertiary,,1314000,1314000,1314000,,,0,Industrial use ,1314000,0,0,0.989448547,,,2,0,https://cgiar.sharepoint.com/:i:/r/sites/IWMI-E-ReWater/Shared%20Documents/Pilar%201%20-%20AI/images/Re_Train/Javier_Database_Image/images_Egypt/Javier_Egypt_EG10_map_zoom_17.tif?csf=1&web=1&e=TJ9F3O
